Title,Production,Certificate,Genre(s),Rating
Ted Lasso,(2020– ),A,"Comedy, Drama, Sport",8.7
The Terror,(2018– ),16+,"Adventure, Drama, History",8.0
Hannah Montana,(2006–2011),PG,"Comedy, Family, Music",5.1
Hemlock Grove,(2013–2015),,"Drama, Horror, Mystery",7.1
Timeless,(2016–2018),15+,"Action, Adventure, Drama",7.7
Tokyo Ghoul,(2014),18,"Animation, Action, Drama",7.9
Sword Art Online,(2012– ),18,"Animation, Action, Adventure",7.6
Father Ted,(1995–1998),,Comedy,8.6
What We Do in the Shadows,(2019– ),15+,"Comedy, Fantasy, Horror",8.5
Dawson's Creek,(1998–2003),18,"Drama, Romance",6.6
Humans,(2015–2018),,"Drama, Sci-Fi",8.0
The Black Adder,(1982–1983),,Comedy,8.1
MacGyver,(1985–1992),,"Action, Adventure, Crime",7.7
Boku no hîrô akademia,(2016– ),16,"Animation, Action, Adventure",8.5
Drake & Josh,(2004–2007),,"Comedy, Family",7.7
O Mecanismo,(2018– ),18,"Crime, Drama, Thriller",8.4
Haven,(2010– ),,"Crime, Drama, Fantasy",7.6
Doctor Who,(1963–1989),U,"Adventure, Drama, Family",8.4
Phineas and Ferb,(2007–2015),,"Animation, Short, Action",8.0
Lethal Weapon,(2016–2019),16,"Action, Comedy, Crime",7.9
Raising Hope,(2010–2014),,"Comedy, Family",8.0
Beauty and the Beast,(2012–2016),16,"Drama, Horror, Romance",7.1
Masters of Sex,(2013–2016),16+,"Drama, Romance",7.9
Young Sheldon,(2017– ),U,Comedy,7.4
Scream Queens,(2015–2016),,"Comedy, Horror, Mystery",7.1
Sabrina the Teenage Witch,(1996–2003),U,"Comedy, Family, Fantasy",6.7
Doom Patrol,(2019– ),,"Action, Adventure, Comedy",7.9
Line of Duty,(2012– ),16,"Crime, Drama, Mystery",8.7
Don't Trust the B---- in Apartment 23,(2012–2013),,Comedy,7.3
The A-Team,(1983–1987),,"Action, Adventure, Crime",7.5
Happy Endings,(2011–2020),,"Comedy, Romance",7.7
The Wonder Years,(1988–1993),,"Comedy, Drama, Family",8.3
Everybody Hates Chris,(2005–2009),,"Comedy, Drama, Music",7.4
According to Jim,(2001–2009),,"Comedy, Romance",6.4
Scream: The TV Series,(2015–2019),18,"Crime, Drama, Horror",7.2
The Tomorrow People,(2013–2014),U,"Action, Drama, Sci-Fi",7.2
The Fairly OddParents,(2001–2017),,"Animation, Adventure, Comedy",7.2
The Ranch,(2016–2020),18+,"Comedy, Drama, Western",7.5
Happy Valley,(2014– ),,"Crime, Drama, Thriller",8.4
Impractical Jokers,(2011– ),13,"Comedy, Reality-TV",8.6
Goliath,(2016– ),18+,Drama,8.2
Farscape,(1999–2003),,"Action, Adventure, Drama",8.2
Legend of the Seeker,(2008–2010),,"Action, Adventure, Drama",7.6
"Ed, Edd n Eddy",(1999–2008),,"Animation, Comedy, Family",7.4
Happy!,(2017–2019),18,"Action, Comedy, Crime",8.2
Episodes,(2011–2017),,Comedy,7.8
iCarly,(2007–2012),,"Comedy, Family, Romance",6.6
The Flintstones,(1960–1966),,"Animation, Adventure, Comedy",7.5
Johnny Bravo,(1997–2004),,"Animation, Adventure, Comedy",7.2
Final Space,(2018– ),,"Animation, Action, Adventure",8.3
Z Nation,(2014–2018),18,"Action, Comedy, Drama",6.7
The Suite Life of Zack & Cody,(2005–2008),PG,"Comedy, Family",6.5
Red Dwarf,(1988– ),,"Adventure, Comedy, Sci-Fi",8.4
Life,(I) (2007–2009),13,"Crime, Drama, Mystery",8.3
Blue Bloods,(2010– ),,"Crime, Drama, Mystery",7.6
Top of the Lake,(2013–2017),,"Crime, Drama, Mystery",7.5
Batwoman,(2019– ),,"Action, Adventure, Crime",3.4
Saved by the Bell,(1989–1992),,"Comedy, Family, Romance",7.0
The Filthy Frank Show,(2011–2017),,"Comedy, Fantasy, Music",9.5
Safe,(2018),18,"Crime, Drama, Mystery",7.3
Yellowstone,(2018– ),,"Drama, Western",8.6
Good Girls,(2018– ),16,"Comedy, Crime, Drama",7.8
Rugrats,(1990–2006),,"Animation, Adventure, Comedy",7.4
Law & Order,(1990–2010),,"Crime, Drama, Mystery",7.7
Young Justice,(2010– ),,"Animation, Action, Adventure",8.6
The Golden Girls,(1985–1992),,"Comedy, Drama",7.9
Rules of Engagement,(2007–2013),,"Comedy, Romance",7.3
ALF,(1986–1990),,"Comedy, Family, Sci-Fi",7.4
The Protector,(2018–2020),18,"Action, Fantasy, Sci-Fi",6.7
Shooter,(2016–2018),16,"Action, Drama",7.5
Bored to Death,(2009–2011),,"Comedy, Crime, Drama",7.9
The Goldbergs,(2013– ),,Comedy,8.1
The Cosby Show,(1984–1992),,"Comedy, Family, Romance",7.3
The Family Man,(2019– ),16+,"Action, Comedy, Drama",8.5
"Beverly Hills, 90210",(1990–2000),,"Drama, Romance",6.4
A Discovery of Witches,(2018– ),15+,"Drama, Fantasy, Romance",8.0
The Bugs Bunny Show,(1960–1975),,"Animation, Comedy",8.6
Star Wars: Rebels,(2014–2018),,"Animation, Action, Adventure",8.0
The Gifted,(2017–2019),12+,"Action, Drama, Fantasy",7.3
Hunters,(2020– ),18,"Crime, Drama, Mystery",7.2
The Rain,(2018–2020),18,"Drama, Sci-Fi, Thriller",6.3
Parenthood,(2010–2015),,"Comedy, Drama",8.2
Dark Angel,(2000–2002),,"Action, Drama, Mystery",7.4
Teenage Mutant Ninja Turtles,(1987–1996),,"Animation, Action, Adventure",7.9
Hey Arnold!,(1996–2004),,"Animation, Comedy, Drama",7.6
Ally McBeal,(1997–2002),,"Comedy, Drama, Fantasy",6.8
Suburgatory,(2011–2014),,Comedy,7.2
Colony,(2016–2018),16,"Action, Adventure, Drama",7.4
Sneaky Pete,(2015–2019),18,Crime,8.1
Knight Rider,(1982–1986),,"Action, Crime, Drama",6.9
"Scooby Doo, Where Are You!",(1969–1970),,"Animation, Adventure, Comedy",7.9
An Idiot Abroad,(2010–2012),,"Documentary, Adventure, Comedy",8.3
Kingdom,(2019– ),18,"Action, Drama, Horror",8.4
Regular Show,(2009–2017),,"Animation, Short, Action",8.4
Anger Management,(2012–2014),18,"Comedy, Romance",6.6
Rizzoli & Isles,(2010–2016),16,"Crime, Drama, Mystery",7.6
Gomorra: La serie,(2014– ),,"Crime, Drama, Thriller",8.7
Wizards of Waverly Place,(2007–2012),All,"Adventure, Comedy, Drama",6.9
QI,(2003– ),,"Comedy, Game-Show",8.6
Last Man Standing,(2011–2021),12+,Comedy,7.6
F Is for Family,(2015– ),18,"Animation, Comedy, Drama",8.0
DuckTales,(1987–1990),,"Animation, Adventure, Comedy",8.1
Strike Back,(2010–2020),,"Action, Drama, Thriller",8.2
Longmire,(2012–2017),,"Action, Crime, Drama",8.3
Lovecraft Country,(2020– ),18,"Drama, Fantasy, Horror",7.1
Kenpû Denki Berserk,(1997–1998),,"Animation, Action, Adventure",8.7
Life on Mars,(2006–2007),,"Crime, Drama, Mystery",8.3
Lost Girl,(2010–2016),,"Action, Drama, Fantasy",7.7
The Mindy Project,(2012–2017),16,Comedy,7.4
Halt and Catch Fire,(2014–2017),,Drama,8.4
Mom,(2013–2021),16+,"Comedy, Drama, Romance",7.2
Dharma & Greg,(1997–2002),,"Comedy, Romance",6.3
Chicago P.D.,(2014– ),,"Action, Crime, Drama",8.1
Demon Slayer: Kimetsu No Yaiba,(2019– ),16,"Animation, Action, Fantasy",8.7
Derek,(2012–2014),,"Comedy, Drama",8.0
Columbo,(1971–2003),,"Crime, Drama, Mystery",8.2
Helix,(2014–2015),,"Drama, Horror, Mystery",6.8
Dirilis: Ertugrul,(2014–2019),16,"Action, Adventure, Drama",7.9
Pinky and the Brain,(1995–1998),,"Animation, Comedy, Family",7.9
Skam,(2015–2017),,"Drama, Romance",8.6
Dracula,(2013–2014),,"Drama, Horror, Romance",7.4
Babylon 5,(1993–1998),,"Action, Adventure, Drama",8.3
Kyle XY,(2006–2009),,"Drama, Mystery, Romance",7.5
Kota Factory,(2019),16,"Comedy, Drama",9.0
Damages,(2007–2012),18,"Crime, Drama, Mystery",8.1
Snowpiercer,(2020– ),18,"Action, Drama, Sci-Fi",6.8
Party Down,(2009–2010),,"Comedy, Drama",8.2
Beavis and Butt-Head,(1993–2011),,"Animation, Comedy, Music",7.5
Alphas,(2011–2012),,"Action, Drama, Sci-Fi",7.2
Hercules: The Legendary Journeys,(1995–1999),,"Action, Adventure, Drama",6.5
Behzat Ç.: Bir Ankara Polisiyesi,(2010–2019),,"Crime, Drama, Mystery",8.8
Ezel,(2009–2011),,"Crime, Drama, Thriller",8.6
Roswell,(1999–2002),,"Drama, Mystery, Sci-Fi",7.5
American Vandal,(2017–2018),18,"Comedy, Crime, Drama",8.2
Spider-Man,(1994–1998),PG,"Animation, Action, Adventure",8.4
Broad City,(2014–2019),,Comedy,8.4
Covert Affairs,(2010–2014),13,"Action, Crime, Drama",7.3
The Boondocks,(2005–2014),,"Animation, Action, Comedy",8.4
Keeping Up with the Kardashians,(2006– ),16,"Drama, Family, Reality-TV",2.8
Lilyhammer,(2012–2014),,"Comedy, Crime, Drama",8.0
Panchayat,(2020– ),16,"Comedy, Drama",8.7
Spin City,(1996–2002),,Comedy,7.3
Teen Titans,(2003–2006),,"Animation, Action, Adventure",7.8
Asur: Welcome to Your Dark Side,(2020– ),18,"Crime, Drama, Mystery",8.4
Quantum Leap,(1989–1993),,"Action, Adventure, Drama",8.1
Pod prikritie,(2011–2016),,"Action, Crime, Drama",8.9
Hanna,(2019– ),16,"Action, Drama",7.5
Poldark,(2015–2019),18,"Drama, History, Romance",8.3
Las Vegas,(2003–2008),,"Crime, Drama",7.4
Steven Universe,(2013–2020),,"Animation, Short, Action",8.2
The Carrie Diaries,(2013–2014),,"Comedy, Romance",7.0
Medium,(2005–2011),,"Crime, Drama, Fantasy",6.9
Kiseijû: Sei no kakuritsu,(2014–2015),,"Animation, Action, Horror",8.3
Superstore,(2015– ),,Comedy,7.8
The Exorcist,(2016–2018),,"Drama, Horror, Mystery",8.0
The Event,(2010–2011),,"Crime, Drama, Mystery",7.0
Harper's Island,(2009),,"Drama, Horror, Mystery",7.5
My Wife and Kids,(2001–2005),,"Comedy, Family",6.8
Living with Yourself,(2019– ),18,"Comedy, Drama, Sci-Fi",7.2
Baywatch,(1989–2001),13,"Action, Adventure, Crime",5.3
The Deuce,(2017–2019),18+,Drama,8.1
Rescue Me,(2004–2011),,"Comedy, Drama",8.3
Fuller House,(2016–2020),UA,"Comedy, Family",6.8
Family Matters,(1989–1998),,"Adventure, Comedy, Drama",6.6
Nurse Jackie,(2009–2015),,"Comedy, Drama",7.7
The Fosters,(2013–2018),,"Drama, Romance",7.9
Better Off Ted,(2009–2010),,"Comedy, Sci-Fi",8.2
Another Life,(2019– ),16+,"Adventure, Drama, Mystery",5.0
Rectify,(2013–2016),,Drama,8.3
Southland,(2009–2013),,"Crime, Drama, Thriller",8.4
Never Have I Ever,(2020– ),16,Comedy,7.9
Top Gear,(1978–2002),,Documentary,8.3
Batman Beyond,(1999–2001),,"Animation, Action, Adventure",8.1
Cold Case,(2003–2010),,"Crime, Drama, Mystery",7.6
The Kominsky Method,(2018– ),18,"Comedy, Drama",8.2
Forbrydelsen,(2007–2012),,"Crime, Drama, Mystery",8.4
Being Human,(2011–2014),,"Drama, Fantasy, Horror",7.5
Marcella,(2016– ),18,"Crime, Drama, Mystery",7.4
Witches of East End,(2013–2014),,"Comedy, Drama, Fantasy",7.6
The L Word,(I) (2004–2009),,"Drama, Romance",7.6
7th Heaven,(1996–2007),,"Comedy, Drama, Family",5.2
Midsomer Murders,(1997– ),,"Crime, Drama, Mystery",7.7
Animal Kingdom,(2016– ),18,"Crime, Drama",8.2
Being Human,(2008–2013),,"Comedy, Drama, Fantasy",7.8
8 Simple Rules... for Dating My Teenage Daughter,(2002–2005),,"Comedy, Drama",7.0
Caprica,(2009–2010),,"Action, Drama, Sci-Fi",7.1
House of Lies,(2012–2016),,"Comedy, Drama",7.4
Kim Possible,(2002–2007),,"Animation, Action, Adventure",7.2
Dragon Ball GT: Doragon bôru jîtî,(1996–2003),,"Animation, Action, Adventure",6.8
'Allo 'Allo!,(1982–1992),,"Comedy, History, War",8.4
Dragon Ball Super: Doragon bôru cho,(2015–2018),7,"Animation, Action, Adventure",8.4
The Venture Bros.,(2003–2018),,"Animation, Action, Adventure",8.5
Moonlight,(2007–2008),,"Drama, Fantasy, Horror",7.6
You're the Worst,(2014–2019),,"Comedy, Drama, Romance",8.1
Greek,(2007–2011),,"Comedy, Drama",7.5
Cursed,(2020– ),18,"Adventure, Drama, Fantasy",5.8
Miami Vice,(1984–1989),,"Action, Crime, Drama",7.5
Extant,(2014–2015),,"Drama, Sci-Fi, Thriller",6.6
Studio 60 on the Sunset Strip,(2006–2007),,"Comedy, Drama",8.2
Daria,(1997–2001),,"Animation, Comedy, Drama",8.0
Reaper,(2007–2009),,"Adventure, Comedy, Drama",7.7
Nashville,(2012–2018),,"Drama, Music, Romance",7.7
Inside Look: The People v. O.J. Simpson - American Crime Story,(2016),,"Documentary, Short",8.4
Mike & Molly,(2010–2016),13,Comedy,6.4
Nanatsu no taizai,(2014– ),16,"Animation, Action, Adventure",8.1
Camelot,(2011),,"Drama, Fantasy, History",6.5
Mystery Science Theater 3000,(1988–1999),,"Comedy, Sci-Fi",8.5
Star Wars: Clone Wars,(2003–2005),,"Animation, Action, Adventure",7.8
Switched at Birth,(2011–2017),,"Drama, Family, Romance",7.7
Aqua Teen Hunger Force,(2000–2015),,"Animation, Comedy",7.6
Law & Order: Criminal Intent,(2001–2011),,"Crime, Drama, Mystery",7.4
Jersey Shore,(2009–2012),,"Comedy, Drama, Reality-TV",3.6
Mozart in the Jungle,(2014–2018),18,"Comedy, Drama, Music",8.2
The Closer,(2005–2012),,"Crime, Drama, Mystery",7.6
Recess,(1997–2001),,"Animation, Adventure, Comedy",7.8
Dominion,(2014–2015),,"Action, Drama, Fantasy",6.8
Insatiable,(2018–2019),18,"Comedy, Drama, Thriller",6.5
Victoria,(2016– ),15+,"Biography, Drama, History",8.2
Private Practice,(2007–2013),,"Comedy, Drama, Romance",6.7
Conan,(2010– ),,"Comedy, Music, Talk-Show",8.1
The Muppet Show,(1976–1981),,"Comedy, Family, Music",8.4
"Magnum, P.I.",(1980–1988),,"Action, Adventure, Crime",7.5
Fresh Off the Boat,(2015–2020),PG,Comedy,7.8
Dear White People,(2017–2021),18,"Comedy, Drama",6.2
Wet Hot American Summer: First Day of Camp,(2015),,Comedy,7.4
Aashram,(2020),Not Rated,"Crime, Drama, Mystery",7.4
Inhumans,(2017),15+,"Action, Adventure, Sci-Fi",5.0
Manifest,(2018– ),16,"Drama, Mystery, Sci-Fi",7.2
The Mist,(2017),18,"Drama, Horror, Sci-Fi",5.4
Runaways,(2017–2019),16,"Action, Drama, Sci-Fi",7.0
Salem,(2014–2017),,"Drama, Fantasy, Horror",7.2
College Romance,(2018– ),16+,"Comedy, Drama, Romance",8.9
I Love Lucy,(1951–1957),,"Comedy, Family",8.4
Tyrant,(2014–2016),,"Action, Drama, Thriller",7.8
Counterpart,(2017–2019),,"Drama, Sci-Fi, Thriller",8.1
Little Britain,(2003–2006),13,Comedy,7.6
Survivor,(2000– ),,"Adventure, Game-Show, Reality-TV",7.2
The Amazing World of Gumball,(2011–2019),,"Animation, Adventure, Comedy",8.2
Permanent Roommates,(2014–2016),18+,"Comedy, Romance",8.6
Devious Maids,(2013–2016),,"Comedy, Drama, Mystery",7.8
3%,(2016–2020),18,"Action, Drama, Sci-Fi",7.4
The Missing,(2014–2016),,"Crime, Drama, Mystery",8.2
United States of Tara,(2009–2011),,"Comedy, Drama, Romance",7.9
Zoo,(2015–2017),16,"Drama, Mystery, Sci-Fi",6.8
Man vs. Wild,(2006–2020),,"Adventure, Reality-TV",8.1
Yakusoku no Neverland,(2019– ),,"Animation, Adventure, Drama",8.7
Vinyl,(2016),18,"Drama, Music",7.8
Tales from the Crypt,(1989–1996),,"Comedy, Crime, Fantasy",8.0
Jackass,(2000–2007),,"Action, Comedy, Reality-TV",7.3
Black Lightning,(2017– ),13,"Action, Drama, Sci-Fi",6.1
Brothers & Sisters,(2006–2011),,Drama,7.3
9-1-1,(2018– ),12+,"Action, Drama, Thriller",7.7
Animaniacs,(1993–1998),,"Animation, Comedy, Family",7.9
Hustle,(2004–2012),,"Crime, Drama, Mystery",8.1
Future Man,(2017–2020),18,"Action, Adventure, Comedy",7.7
Fate: The Winx Saga,(2021– ),16,"Action, Adventure, Drama",6.9
The Dark Crystal: Age of Resistance,(2019),7+,"Adventure, Drama, Family",8.5
Lois & Clark: The New Adventures of Superman,(1993–1997),,"Adventure, Comedy, Drama",6.7
Vice Principals,(2016–2018),,Comedy,8.0
Warrior Nun,(2020– ),18,"Action, Drama, Fantasy",6.8
Transparent,(2014–2019),18,"Comedy, Drama",7.8
Mad About You,(1992–2019),,"Comedy, Romance",6.6
Homecoming,(2018– ),16,"Drama, Mystery, Thriller",7.5
Derry Girls,(2018– ),18,Comedy,8.4
The Get Down,(2016–2017),18,"Drama, Music, Musical",8.3
Last Resort,(I) (2012–2013),,"Action, Drama, Mystery",7.4
Into the Night,(II) (2020– ),16,"Drama, Sci-Fi, Thriller",7.1
Modern Love,(2019– ),16,"Comedy, Romance",8.0
The Order,(2019–2020),16+,"Drama, Fantasy, Horror",6.8
American Idol: The Search for a Superstar,(2002– ),,"Game-Show, Music, Reality-TV",4.1
Hung,(2009–2011),,"Comedy, Drama",7.1
The Ren & Stimpy Show,(1991–1996),,"Animation, Adventure, Comedy",7.5
CatDog,(1998–2005),,"Animation, Adventure, Comedy",6.6
The Grim Adventures of Billy & Mandy,(2001–2007),,"Animation, Adventure, Comedy",7.7
Monster,(2004–2010),,"Animation, Crime, Drama",8.6
The Thick of It,(2005–2012),,Comedy,8.7
The Musketeers,(2014–2016),,"Adventure, Drama",7.8
Fairy Tail: Fearî teiru,(2009–2019),16,"Animation, Action, Adventure",8.0
How to Sell Drugs Online (Fast),(2019– ),18,"Comedy, Crime, Drama",7.9
Away,(2020),16,"Drama, Romance, Sci-Fi",6.6
The Mighty Boosh,(2003–2007),,"Comedy, Fantasy, Musical",8.3
Digimon: Digital Monsters,(1999–2003),,"Animation, Action, Adventure",7.3
Transformers,(1984–1987),,"Animation, Action, Adventure",8.0
Awake,(2012),,"Drama, Fantasy, Mystery",7.9
The Good Fight,(I) (2017– ),18,"Crime, Drama",8.3
Call the Midwife,(2012– ),,"Drama, History",8.4
Killjoys,(2015–2019),,"Action, Adventure, Sci-Fi",7.2
Victorious,(2010–2013),,"Comedy, Drama, Family",6.9
The Unit,(2006–2009),,"Action, Drama, Thriller",8.1
Mighty Morphin Power Rangers,(1993–1996),7,"Action, Adventure, Family",6.5
Swamp Thing,(2019),,"Action, Adventure, Drama",7.6
The Rookie,(2018– ),,"Comedy, Crime, Drama",8.1
Virgin River,(2019– ),13+,"Drama, Romance",7.5
Flames,(2018– ),Not Rated,"Comedy, Drama, Romance",9.1
Madam Secretary,(2014–2019),13,Drama,7.6
Big Love,(2006–2011),,Drama,7.6
The Flight Attendant,(2020– ),,"Comedy, Drama, Mystery",7.1
Ragnarok,(2020– ),18,"Drama, Fantasy, Mystery",7.5
Ringer,(2011–2012),,"Crime, Drama, Mystery",6.9
Dragon Ball Kai: Doragon bôru kai,(2009–2015),,"Animation, Action, Adventure",8.2
The Adventures of Sherlock Holmes,(1984–1985),,"Crime, Drama, Mystery",8.7
The Society,(2019),18,"Drama, Mystery, Sci-Fi",7.1
Bir Baskadir,(2020– ),18,"Drama, Thriller",8.6
Fortitude,(2015–2018),,"Drama, Horror, Mystery",7.4
Isler Güçler,(2012–2013),,Comedy,8.5
Black-ish,(2014– ),,Comedy,7.1
Nathan for You,(2013–2017),16,"Documentary, Comedy",8.9
Yeh Meri Family,(2018),7+,"Comedy, Drama, Family",9.1
Servant,(2019– ),A,"Drama, Horror, Mystery",7.6
Formula 1: Drive to Survive,(2019– ),18,"Documentary, Sport",8.6
Borgen,(2010– ),16,Drama,8.5
The Act,(2019),,"Biography, Crime, Drama",8.0
Queen of the South,(2016– ),18,"Action, Crime, Drama",7.9
TURN,(2014–2017),,"Drama, History, War",8.1
Gangs of London,(2020– ),,"Action, Crime, Drama",8.1
Go On,(2012–2013),,Comedy,7.5
Les Revenants,(2012–2015),,"Drama, Fantasy, Horror",8.2
Invader ZIM,(2001–2006),PG,"Animation, Action, Adventure",8.3
Pose,(2018– ),18,Drama,8.6
Legacies,(2018– ),UA,"Adventure, Drama, Fantasy",7.5
Foster's Home for Imaginary Friends,(2004–2009),,"Animation, Adventure, Comedy",7.6
Fauda,(2015– ),18+,"Action, Drama, Thriller",8.2
Ripper Street,(2012–2016),,"Crime, Drama, Mystery",8.1
Trigun,(1998),,"Animation, Action, Comedy",8.3
Rocko's Modern Life,(1993–1996),,"Animation, Comedy",7.9
Royal Pains,(2009–2016),,"Comedy, Drama",7.0
Sanctuary,(2008–2011),,"Action, Drama, Fantasy",7.3
The Secret Life of the American Teenager,(2008–2013),,"Comedy, Drama, Family",5.0
The Librarians,(2013–2018),,"Action, Adventure, Comedy",7.3
My So-Called Life,(1994–1995),,"Comedy, Drama, Romance",8.3
Babylon Berlin,(2017– ),,"Crime, Drama, Thriller",8.4
From Dusk Till Dawn: The Series,(2014–2016),18,"Action, Crime, Horror",6.9
My Little Pony: Friendship Is Magic,(2010–2020),All,"Animation, Adventure, Comedy",7.6
Batman,(1966–1968),,"Action, Adventure, Comedy",7.5
Baby Daddy,(2012–2017),,"Comedy, Drama, Family",7.4
Pan Am,(2011–2012),,"Drama, History, Romance",7.0
Outer Banks,(2020– ),18,"Action, Crime, Drama",7.6
Drawn Together,(2004–2007),,"Animation, Comedy, Reality-TV",7.0
Intelligence,(2014),,"Action, Drama, Sci-Fi",6.9
Endeavour,(2012– ),,"Crime, Drama, Mystery",8.6
Inspector Gadget,(1983–1986),,"Animation, Action, Adventure",6.8
Soupçons,(2004–2018),18,"Documentary, Crime, Drama",7.9
Perception,(2012–2015),,"Crime, Drama, Mystery",7.5
Black Summer,(2019– ),18,"Action, Drama, Horror",6.4
Queer as Folk,(2000–2005),,"Drama, Romance",8.3
"Murder, She Wrote",(1984–1996),,"Crime, Drama, Mystery",7.0
Good Luck Charlie,(2010–2014),,"Comedy, Drama, Family",7.0
The Resident,(2018– ),15+,Drama,7.7
The Jetsons,(1962–1963),,"Animation, Comedy, Family",7.0
I'm Alan Partridge,(1997–2002),,Comedy,8.5
Yu-Gi-Oh!,(I) (2000–2006),,"Animation, Action, Adventure",7.2
Salvation,(2017–2018),16+,"Drama, Sci-Fi, Thriller",7.0
Hell's Kitchen,(2005– ),,"Game-Show, Reality-TV",7.1
Cow and Chicken,(1997–1999),,"Animation, Adventure, Comedy",6.5
The Politician,(2019– ),18+,"Comedy, Drama",7.5
Little House on the Prairie,(1974–1983),,"Drama, Family, Romance",7.4
Portlandia,(2011–2018),,Comedy,7.8
Drop Dead Diva,(2009–2014),,"Comedy, Drama",7.4
Moonlighting,(1985–1989),,"Comedy, Drama, Mystery",7.6
Wynonna Earp,(2016– ),16,"Action, Drama, Fantasy",7.4
Without a Trace,(2002–2009),,"Crime, Drama, Mystery",6.9
Absolutely Fabulous,(1992–2012),,Comedy,8.1
Friends from College,(2017–2019),18,"Comedy, Drama",6.9
Just Shoot Me!,(1997–2003),,Comedy,6.8
The Lying Game,(2011–2013),,"Drama, Mystery",7.3
Van Helsing,(2016– ),18,"Action, Drama, Fantasy",6.2
The Great,(2020– ),,"Biography, Comedy, Drama",8.1
Kôkaku kidôtai: Stand Alone Complex,(2002–2005),18,"Animation, Action, Crime",8.5
"The Adventures of Jimmy Neutron, Boy Genius",(2002–2006),,"Animation, Adventure, Comedy",6.7
Outcast,(2016–2017),,"Drama, Horror",7.4
That's So Raven,(2003–2007),,"Comedy, Family, Fantasy",6.6
The Bridge,(I) (2013–2014),,"Crime, Drama, Mystery",7.6
Special OPS,(2020– ),15+,"Action, Crime, Thriller",8.5
Jackie Chan Adventures,(2000–2005),,"Animation, Action, Adventure",7.4
Melissa & Joey,(2010–2015),,"Comedy, Romance",7.0
Younger,(2015– ),,"Comedy, Romance",7.8
Doug,(1991–1994),,"Animation, Adventure, Comedy",7.4
The Gift,(2019– ),16,"Drama, Fantasy, Mystery",7.4
Rurôni Kenshin - Meiji kenkaku romantan,(1996–1999),,"Animation, Action, Adventure",8.5
Lizzie McGuire,(2001–2004),,"Comedy, Drama, Family",6.6
Bewitched,(1964–1972),,"Comedy, Family, Fantasy",7.5
Teen Titans Go!,(2013– ),,"Animation, Short, Adventure",5.3
Your Honor,(II) (2020–2021),18,"Crime, Drama, Thriller",7.9
Wentworth,(2013–2021),18,"Crime, Drama",8.6
Chip 'n' Dale Rescue Rangers,(1988–1990),,"Animation, Adventure, Comedy",7.6
Codename: Kids Next Door,(2002–2008),,"Animation, Action, Adventure",7.2
Shigatsu wa kimi no uso,(2014–2015),,"Animation, Drama, Music",8.6
Four More Shots Please!,(2019– ),18+,"Comedy, Drama, Romance",6.6
666 Park Avenue,(2012–2013),,"Drama, Fantasy, Horror",6.9
Warrior,(2019– ),18,"Action, Crime, Drama",8.3
Human Target,(2010–2011),,"Action, Adventure, Crime",7.8
Cloak & Dagger,(2018–2019),15+,"Action, Adventure, Drama",6.7
Barbarians,(2020– ),18,"Action, Adventure, Drama",7.2
Key and Peele,(2012–2015),,"Action, Adventure, Comedy",8.3
America's Next Top Model,(2003– ),,"Game-Show, Reality-TV",5.5
Alice in Borderland,(2020– ),18,"Action, Fantasy, Mystery",7.7
Frontier,(2016–2018),18,"Adventure, Drama, History",7.2
Who Is America?,(2018),,Comedy,8.3
MacGyver,(2016– ),,"Action, Adventure, Drama",5.3
Late Night with Conan O'Brien,(1993–2009),,"Comedy, Music, Talk-Show",8.1
Boss,(2011–2012),,"Crime, Drama",8.1
Knightfall,(2017–2019),18,"Action, Adventure, Drama",6.8
Gavin & Stacey,(2007–2019),,"Comedy, Romance",8.1
Reno 911!,(2003– ),16,"Comedy, Crime",7.9
Crazy Ex-Girlfriend,(2015–2019),18,"Comedy, Musical",7.8
Star-Crossed,(2014),,"Drama, Romance, Sci-Fi",7.3
Through the Wormhole,(2010–2017),,Documentary,8.6
Unforgettable,(2011–2016),15+,"Crime, Drama, Mystery",6.7
Stalker,(2014–2015),,"Crime, Drama, Thriller",7.5
Akame ga Kill!,(2014),18,"Animation, Action, Comedy",7.9
The Dragon Prince,(2018– ),13,"Animation, Adventure, Drama",8.4
The Adventures of Tintin,(1991–1992),,"Animation, Action, Adventure",8.3
Vis a vis,(2015–2019),,"Drama, Thriller",8.2
New Amsterdam,(2018– ),,Drama,8.1
Sliders,(1995–2000),,"Adventure, Fantasy, Sci-Fi",7.4
Dinosaurs,(1991–1994),,"Comedy, Family, Fantasy",7.5
Mr. Mercedes,(2017–2019),18,"Mystery, Sci-Fi, Thriller",7.9
Flashpoint,(2008–2012),,"Action, Adventure, Crime",7.7
JAG,(1995–2005),,"Action, Crime, Drama",6.6
Koombiyo,(2017–2018),,"Crime, Drama, Thriller",9.5
Smash,(2012–2013),,"Drama, Musical",7.7
Da Ali G Show,(2000–2004),,"Comedy, Talk-Show",7.9
Happy Days,(1974–1984),,"Comedy, Family, Music",7.4
Bitten,(2014–2016),18,"Drama, Fantasy, Horror",7.0
He-Man and the Masters of the Universe,(1983–1985),,"Animation, Action, Adventure",7.5
Happy Tree Friends,(2000– ),,"Animation, Comedy",7.0
The Tonight Show Starring Jimmy Fallon,(2014– ),,"Comedy, Music, Talk-Show",7.2
Lovesick,(2014–2018),18,Comedy,8.1
Undeclared,(2001–2003),,Comedy,7.9
