Title,Production,Certificate,Genre(s),Rating
Pretty Little Liars,(2010–2017),A,"Drama, Mystery, Romance",7.4
The Crown,(2016– ),16+,"Biography, Drama, History",8.7
The End of the F***ing World,(2017–2019),18+,"Adventure, Comedy, Crime",8.1
You,(2018– ),16+,"Crime, Drama, Romance",7.7
Altered Carbon,(2018–2020),16+,"Action, Drama, Sci-Fi",8.0
Castle,(2009–2016),A,"Comedy, Crime, Drama",8.1
Bones,(2005–2017),15+,"Comedy, Crime, Drama",7.8
Sense8,(2015–2018),18,"Drama, Mystery, Sci-Fi",8.3
Archer,(2009– ),18,"Animation, Action, Comedy",8.6
Glee,(2009–2015),18,"Comedy, Drama, Music",6.7
The IT Crowd,(2006–2013),16,Comedy,8.5
Buffy the Vampire Slayer,(1997–2003),A,"Action, Drama, Fantasy",8.2
Freaks and Geeks,(1999–2000),,"Comedy, Drama",8.8
How to Get Away with Murder,(2014–2020),18+,"Crime, Drama, Mystery",8.1
Chuck,(2007–2012),16,"Action, Comedy, Drama",8.2
Teen Wolf,(2011–2017),18,"Action, Drama, Fantasy",7.6
Silicon Valley,(2014–2019),15+,Comedy,8.5
Outlander,(2014– ),A,"Drama, Fantasy, Romance",8.4
Hagane no renkinjutsushi,(2009–2012),18+,"Animation, Action, Adventure",9.1
The Fresh Prince of Bel-Air,(1990–1996),U,Comedy,7.9
Luther,(2010–2019),18,"Crime, Drama, Mystery",8.5
Six Feet Under,(2001–2005),15+,"Comedy, Drama",8.7
NCIS: Naval Criminal Investigative Service,(2003– ),16,"Action, Crime, Drama",7.7
Riverdale,(2017– ),13+,"Crime, Drama, Mystery",6.9
White Collar,(2009–2014),15+,"Comedy, Crime, Drama",8.2
The Originals,(2013–2018),16+,"Drama, Fantasy, Horror",8.2
Malcolm in the Middle,(2000–2006),12+,"Comedy, Family",8.0
Luke Cage,(2016–2018),18,"Action, Crime, Drama",7.3
American Dad!,(2005– ),U,"Animation, Comedy",7.3
One Punch Man: Wanpanman,(2015– ),16+,"Animation, Action, Comedy",8.8
Smallville,(2001–2011),,"Adventure, Drama, Romance",7.5
Desperate Housewives,(2004–2012),,"Comedy, Drama, Mystery",7.5
Taboo,(2017– ),,"Drama, Mystery, Thriller",8.4
The Good Place,(2016–2020),13+,"Comedy, Drama, Fantasy",8.2
Iron Fist,(2017–2018),16,"Action, Adventure, Crime",6.5
Dragon Ball Z,(1996–2003),,"Animation, Action, Adventure",8.7
BoJack Horseman,(2014–2020),18+,"Animation, Comedy, Drama",8.7
Revenge,(2011–2015),,"Drama, Mystery, Thriller",7.8
Fear the Walking Dead,(2015– ),16+,"Drama, Horror, Sci-Fi",6.9
Penny Dreadful,(2014–2016),18,"Drama, Fantasy, Horror",8.2
30 Rock,(2006–2013),,Comedy,8.2
Supergirl,(2015–2021),12+,"Action, Adventure, Drama",6.3
Lie to Me,(2009–2011),,"Crime, Drama, Mystery",8.0
The Expanse,(2015– ),16+,"Drama, Mystery, Sci-Fi",8.5
Cobra Kai,(2018– ),A,"Action, Comedy, Drama",8.6
Grimm,(2011–2017),16,"Crime, Drama, Fantasy",7.8
Top Gear,(2002– ),13,"Adventure, Comedy, Reality-TV",8.7
This Is Us,(2016– ),16,"Comedy, Drama, Romance",8.7
Sex and the City,(1998–2004),A,"Comedy, Drama, Romance",7.1
The Newsroom,(2012–2014),15+,Drama,8.6
The Legend of Korra,(2012–2014),,"Animation, Action, Adventure",8.4
Curb Your Enthusiasm,(2000– ),15+,Comedy,8.7
Mr. Bean,(1990–1995),,"Comedy, Family",8.5
Weeds,(2005–2012),A,"Comedy, Crime, Drama",7.9
Star Trek: The Next Generation,(1987–1994),U,"Action, Adventure, Mystery",8.6
Fleabag,(2016–2019),18+,"Comedy, Drama",8.7
Orphan Black,(2013–2017),18,"Action, Drama, Sci-Fi",8.3
Gilmore Girls,(2000–2007),18,"Comedy, Drama",8.1
Elementary,(2012–2019),16+,"Crime, Drama, Mystery",7.9
Under the Dome,(2013–2015),,"Drama, Mystery, Sci-Fi",6.6
The Office,(2001–2003),,"Comedy, Drama",8.5
The Killing,(2011–2014),,"Crime, Drama, Mystery",8.2
Bates Motel,(2013–2017),16,"Drama, Horror, Mystery",8.2
"Love, Death & Robots",(2019– ),18,"Animation, Short, Comedy",8.5
Star Trek: Discovery,(2017– ),15+,"Action, Adventure, Drama",7.2
Married with Children,(1987–1997),,Comedy,8.0
My Name Is Earl,(2005–2009),,Comedy,7.7
Deadwood,(2004–2006),18,"Crime, Drama, History",8.6
Bodyguard,(2018),18+,"Crime, Drama, Thriller",8.1
Broadchurch,(2013–2017),16,"Crime, Drama, Mystery",8.4
Misfits,(2009–2013),UA,"Comedy, Drama, Fantasy",8.2
Black Sails,(2014–2017),18,"Adventure, Drama",8.2
Legends of Tomorrow,(2016– ),A,"Action, Adventure, Drama",6.8
The OA,(2016–2019),A,"Drama, Fantasy, Mystery",7.9
2 Broke Girls,(2011–2017),16,Comedy,6.7
Jack Ryan,(2018– ),16+,"Action, Drama, Thriller",8.1
Kaubôi bibappu,(1998–1999),,"Animation, Action, Adventure",8.9
Oz,(1997–2003),,"Crime, Drama, Thriller",8.7
Leyla ile Mecnun,(2011–2014),,"Adventure, Comedy, Drama",9.1
The Sinner,(2017– ),18,"Crime, Drama, Mystery",7.9
Batman: The Animated Series,(1992–1995),,"Animation, Action, Adventure",9.0
The Man in the High Castle,(2015–2019),18+,"Drama, Sci-Fi, Thriller",8.0
Banshee,(2013–2016),18,"Action, Crime, Drama",8.4
Justified,(2010–2015),,"Action, Crime, Drama",8.6
Making a Murderer,(2015–2018),16,"Documentary, Crime",8.6
Scam 1992: The Harshad Mehta Story,(2020),18,"Biography, Crime, Drama",9.4
Killing Eve,(2018– ),15+,"Action, Adventure, Drama",8.3
The Last Kingdom,(2015– ),18+,"Action, Drama, History",8.4
Falling Skies,(2011–2015),,"Action, Adventure, Drama",7.2
Psych,(2006–2014),13,"Comedy, Crime, Mystery",8.3
After Life,(2019– ),18,"Comedy, Drama",8.4
Fawlty Towers,(1975–1979),,Comedy,8.7
The Americans,(2013–2018),15+,"Crime, Drama, Mystery",8.4
Naruto: Shippûden,(2007–2017),7,"Animation, Action, Adventure",8.6
The Fall,(I) (2013–2016),18,"Crime, Drama, Thriller",8.2
Stargate SG-1,(1997–2007),U,"Action, Adventure, Drama",8.4
The Following,(2013–2015),,"Crime, Drama, Horror",7.4
SpongeBob SquarePants,(1999– ),,"Animation, Comedy, Family",8.2
Legion,(2017–2019),,"Action, Drama, Sci-Fi",8.2
Law & Order: Special Victims Unit,(1999– ),,"Crime, Drama, Mystery",8.0
The O.C.,(2003–2007),18,"Comedy, Drama, Romance",7.5
Revolution,(2012–2014),,"Action, Adventure, Drama",6.7
The Marvelous Mrs. Maisel,(2017– ),16+,"Comedy, Drama",8.7
The Inbetweeners,(2008–2010),15+,Comedy,8.4
The Leftovers,(2014–2017),A,"Drama, Fantasy, Mystery",8.3
American Crime Story,(2016– ),18,"Biography, Crime, Drama",8.4
Terra Nova,(2011),UA,"Adventure, Drama, Mystery",6.8
Last Week Tonight with John Oliver,(2014– ),,"Comedy, News, Talk-Show",8.9
Chilling Adventures of Sabrina,(2018–2020),18,"Drama, Fantasy, Horror",7.5
Designated Survivor,(2016–2019),16+,"Action, Drama, Mystery",7.5
Ray Donovan,(2013–2020),18,"Crime, Drama",8.3
