Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Cheick Doucouré,Defensive Midfield,Crystal Palace,35000000,24,Mali,-,4,0,0,0,0,2,2,0,0
Mason Greenwood,Right Winger,Olympique Marseille,35000000,23,England,Jamaica,7,5,1,0,0,0,2,0,0
Noni Madueke,Right Winger,Chelsea FC,35000000,22,England,Nigeria,12,5,1,0,0,4,6,0,0
Tino Livramento,Right-Back,Newcastle United,35000000,21,England,Scotland,10,0,0,0,0,4,2,0,0
Karim Adeyemi,Left Winger,Borussia Dortmund,35000000,22,Germany,Nigeria,8,5,5,0,0,1,6,0,0
Nico González,Right Winger,Juventus FC,35000000,26,Argentina,Italy,6,1,1,0,0,1,4,0,0
Brian Brobbey,Centre-Forward,Ajax Amsterdam,35000000,22,Netherlands,Ghana,15,1,3,3,0,6,9,0,0
Reece James,Right-Back,Chelsea FC,35000000,24,England,-,1,0,0,0,0,0,1,0,0
Khéphren Thuram,Central Midfield,Juventus FC,35000000,23,France,Guadeloupe,7,0,1,2,0,4,3,0,0
Curtis Jones,Central Midfield,Liverpool FC,35000000,23,England,-,7,1,1,0,0,4,2,0,0
Quinten Timber,Central Midfield,Feyenoord Rotterdam,35000000,23,Netherlands,Curacao,14,3,1,2,0,3,4,0,0
Ezri Konsa,Centre-Back,Aston Villa,35000000,26,England,DR Congo,10,1,0,0,0,0,2,0,0
Yves Bissouma,Defensive Midfield,Tottenham Hotspur,35000000,28,Mali,Cote d'Ivoire,7,2,0,3,0,2,4,0,0
Joey Veerman,Central Midfield,PSV Eindhoven,35000000,25,Netherlands,-,9,1,5,0,0,0,5,0,0
Dávid Hancko,Centre-Back,Feyenoord Rotterdam,35000000,26,Slovakia,-,15,1,4,3,0,0,1,0,0
Edson Álvarez,Defensive Midfield,West Ham United,35000000,26,Mexico,-,9,0,0,3,0,3,4,1,0
Harvey Barnes,Left Winger,Newcastle United,35000000,26,England,Scotland,10,3,1,0,0,4,4,0,0
Davide Frattesi,Central Midfield,Inter Milan,35000000,25,Italy,-,13,4,1,0,0,6,4,0,0
Alessandro Buongiorno,Centre-Back,SSC Napoli,35000000,25,Italy,-,11,1,0,1,0,2,0,0,0
Axel Disasi,Centre-Back,Chelsea FC,35000000,26,France,DR Congo,6,0,1,1,0,1,3,0,0
Richarlison,Centre-Forward,Tottenham Hotspur,35000000,27,Brazil,-,3,0,0,0,0,3,0,0,0
Nayef Aguerd,Centre-Back,Real Sociedad,35000000,28,Morocco,-,7,0,0,1,0,1,2,0,0
Rodrigo Bentancur,Defensive Midfield,Tottenham Hotspur,35000000,27,Uruguay,-,9,0,1,3,0,3,4,0,0
Fabián Ruiz,Central Midfield,Paris Saint-Germain,35000000,28,Spain,-,13,3,1,1,0,5,6,0,0
Jerdy Schouten,Defensive Midfield,PSV Eindhoven,35000000,27,Netherlands,-,12,2,0,0,0,1,5,0,0
Mason Mount,Attacking Midfield,Manchester United,35000000,25,England,-,5,0,0,2,0,2,4,0,0
Artem Dovbyk,Centre-Forward,AS Roma,35000000,27,Ukraine,-,11,5,1,0,0,1,6,0,0
Takehiro Tomiyasu,Right-Back,Arsenal FC,35000000,25,Japan,-,1,0,0,0,0,1,0,0,0
Gianluca Scamacca,Centre-Forward,Atalanta BC,35000000,25,Italy,-,0,0,0,0,0,0,0,0,0
Guglielmo Vicario,Goalkeeper,Tottenham Hotspur,35000000,28,Italy,-,11,0,0,1,0,0,0,0,0
David Raya,Goalkeeper,Arsenal FC,35000000,29,Spain,-,14,0,0,2,0,0,0,0,0
Joachim Andersen,Centre-Back,Fulham FC,35000000,28,Denmark,-,9,0,1,2,1,0,0,0,0
Ederson,Goalkeeper,Manchester City,35000000,31,Brazil,Portugal,10,0,1,3,0,0,0,0,0
André Onana,Goalkeeper,Manchester United,35000000,28,Cameroon,-,11,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,Left-Back,Arsenal FC,35000000,27,Ukraine,-,4,0,0,0,0,2,2,0,0
Leandro Trossard,Left Winger,Arsenal FC,35000000,29,Belgium,-,12,3,2,1,0,4,5,1,0
Raheem Sterling,Left Winger,Arsenal FC,35000000,29,England,Jamaica,6,1,1,0,0,3,3,0,0
Charles De Ketelaere,Attacking Midfield,Atalanta BC,34000000,23,Belgium,-,15,1,1,1,0,3,10,0,0
Ilya Zabarnyi,Centre-Back,AFC Bournemouth,32000000,22,Ukraine,-,12,0,0,0,0,0,0,0,0
Jacob Ramsey,Attacking Midfield,Aston Villa,32000000,23,England,-,11,1,2,0,0,5,5,0,0
Pedro Gonçalves,Left Winger,Sporting CP,32000000,26,Portugal,-,8,5,5,1,0,1,3,0,0
Lutsharel Geertruida,Right-Back,RB Leipzig,32000000,24,Netherlands,Curacao,14,0,0,0,0,5,2,0,0
Scott McTominay,Central Midfield,SSC Napoli,32000000,27,Scotland,England,13,4,1,1,0,5,0,0,0
Fikayo Tomori,Centre-Back,AC Milan,32000000,26,England,Canada,9,0,0,2,0,1,1,0,0
Rúben Neves,Defensive Midfield,Al-Hilal SFC,32000000,27,Portugal,-,13,0,3,2,0,2,3,0,0
Vitor Roque,Centre-Forward,Real Betis Balompié,30000000,19,Brazil,-,9,2,0,0,0,3,6,0,0
Jorrel Hato,Centre-Back,Ajax Amsterdam,30000000,18,Netherlands,Curacao,16,2,3,5,0,1,3,0,0
Lucas Beraldo,Centre-Back,Paris Saint-Germain,30000000,20,Brazil,-,7,0,0,3,0,1,1,0,0
Pablo Barrios,Central Midfield,Atlético de Madrid,30000000,21,Spain,-,6,0,1,1,0,1,0,0,0
Maghnes Akliouche,Right Winger,AS Monaco,30000000,22,France,Algeria,9,1,2,0,0,3,2,0,0
Adam Wharton,Defensive Midfield,Crystal Palace,30000000,20,England,-,8,0,1,0,0,1,4,0,0
Hugo Ekitiké,Centre-Forward,Eintracht Frankfurt,30000000,22,France,Cameroon,9,5,4,1,0,1,7,0,0
Samuel Lino,Left Midfield,Atlético de Madrid,30000000,24,Brazil,-,10,0,1,1,0,3,5,0,0
Elye Wahi,Centre-Forward,Olympique Marseille,30000000,21,France,Cote d'Ivoire,6,1,0,0,0,1,5,0,0
Simon Adingra,Right Winger,Brighton & Hove Albion,30000000,22,Cote d'Ivoire,-,7,3,1,0,0,4,1,0,0
Bilal El Khannouss,Attacking Midfield,Leicester City,30000000,20,Morocco,Belgium,6,0,1,0,0,3,3,0,0
Cristhian Mosquera,Centre-Back,Valencia CF,30000000,20,Spain,Colombia,9,0,0,2,0,0,0,0,0
Odilon Kossounou,Centre-Back,Atalanta BC,30000000,23,Cote d'Ivoire,-,3,0,0,1,0,0,2,0,0
Maximilian Beier,Centre-Forward,Borussia Dortmund,30000000,22,Germany,-,10,0,0,0,0,8,1,0,0
Youssouf Fofana,Defensive Midfield,AC Milan,30000000,25,France,Mali,13,1,0,3,0,4,3,0,0
Yéremy Pino,Right Winger,Villarreal CF,30000000,22,Spain,-,9,0,1,2,0,5,4,0,0
Mykhaylo Mudryk,Left Winger,Chelsea FC,30000000,23,Ukraine,-,11,1,3,0,0,3,3,0,0
Amine Adli,Left Winger,Bayer 04 Leverkusen,30000000,24,Morocco,France,11,0,0,1,0,6,5,0,0
Dani Vivian,Centre-Back,Athletic Bilbao,30000000,25,Spain,-,14,2,0,1,0,2,2,0,0
Pepê,Left Winger,FC Porto,30000000,27,Brazil,Italy,10,3,1,2,0,3,5,0,0
Kiernan Dewsbury-Hall,Central Midfield,Chelsea FC,30000000,26,England,-,7,1,0,1,0,3,0,0,0
Benoît Badiashile,Centre-Back,Chelsea FC,30000000,23,France,DR Congo,5,0,0,1,0,1,0,0,0
João Félix,Second Striker,Chelsea FC,30000000,24,Portugal,-,9,1,1,2,0,7,1,0,0
Tijjani Reijnders,Central Midfield,AC Milan,30000000,26,Netherlands,-,14,2,3,2,1,1,3,0,0
Andrea Cambiaso,Left-Back,Juventus FC,30000000,24,Italy,-,14,2,1,3,0,2,1,0,0
Jakub Kiwior,Centre-Back,Arsenal FC,30000000,24,Poland,-,8,0,0,0,0,5,2,0,0
Mats Wieffer,Defensive Midfield,Brighton & Hove Albion,30000000,24,Netherlands,-,7,0,1,1,0,5,1,0,0
Jadon Sancho,Left Winger,Chelsea FC,30000000,24,England,Jamaica,6,0,3,1,0,2,4,0,0
Ferran Torres,Right Winger,FC Barcelona,30000000,24,Spain,-,12,2,3,1,1,6,4,0,0
Ibrahim Sangaré,Defensive Midfield,Nottingham Forest,30000000,26,Cote d'Ivoire,-,4,0,0,3,0,1,2,0,0
Ferdi Kadıoğlu,Left-Back,Brighton & Hove Albion,30000000,25,Türkiye,Netherlands,12,2,0,1,0,4,5,0,0
Hiroki Ito,Centre-Back,Bayern Munich,30000000,25,Japan,-,0,0,0,0,0,0,0,0,0
Pervis Estupiñán,Left-Back,Brighton & Hove Albion,30000000,26,Ecuador,Spain,7,0,0,2,0,4,1,0,0
Federico Chiesa,Right Winger,Liverpool FC,30000000,26,Italy,-,3,0,1,0,0,2,1,0,0
Noussair Mazraoui,Right-Back,Manchester United,30000000,26,Morocco,Netherlands,11,0,1,1,0,2,3,0,0
Joe Willock,Central Midfield,Newcastle United,30000000,25,England,Montserrat,8,1,1,0,0,5,2,0,0
Eddie Nketiah,Centre-Forward,Crystal Palace,30000000,25,England,Ghana,5,1,0,2,0,0,3,0,0
Albert Gudmundsson,Second Striker,ACF Fiorentina,30000000,27,Iceland,-,5,3,0,0,0,2,3,0,0
Marc Cucurella,Left-Back,Chelsea FC,30000000,26,Spain,-,9,0,0,5,0,0,4,0,0
Tomas Soucek,Defensive Midfield,West Ham United,30000000,29,Czech Republic,-,14,3,0,4,0,2,4,0,0
Marcos Llorente,Right Midfield,Atlético de Madrid,30000000,29,Spain,-,10,2,2,0,1,1,2,0,0
Sergej Milinković-Savić,Central Midfield,Al-Hilal SFC,30000000,29,Serbia,Spain,12,3,2,1,0,0,4,0,0
Viktor Tsygankov,Right Winger,Girona FC,30000000,26,Ukraine,-,10,1,2,1,0,1,7,0,0
